Bulgaria;EuropeanUnion;2
Hungary;PuertoRico;14
Luxembourg;Poland;30
Eritrea;Indonesia;7
BurkinaFaso;UnitedKingdom;10
Sweden;Barbados;2
Brazil;UnitedStates;251
Azerbaijan;Finland;1
Germany;Spain;421
Tanzania;Yemen;1
Guatemala;Ecuador;16
Croatia;Turkey;13
Poland;Sweden;83
Austria;Singapore;12
Germany;🇸🇺;9
Norway;Serbia;6
Mauritius;Poland;21
Ethiopia;Uganda;29
Portugal;Venezuela;22
Belgium;PuertoRico;14
Italy;Slovenia;50
Belgium;Chile;47
Mexico;Thailand;35
Cuba;Ecuador;5
Austria;Switzerland;68
Mexico;SouthAfrica;59
Kenya;Morocco;1
Hungary;Venezuela;18
Norway;Pakistan;14
Germany;Macedonia;3
Guatemala;Zimbabwe;4
Jersey;SouthAfrica;3
Netherlands;Senegal;2
Mozambique;SouthSudan;4
HongKong;Lithuania;1
Colombia;India;97
Spain;SaudiArabia;10
Chad;Georgia;1
Germany;Kuwait;22
Australia;Zimbabwe;11
Nepal;Colombia;16
Malaysia;Gibraltar;2
Ethiopia;HongKong;8
Paraguay;Kenya;1
Lebanon;Portugal;1
Uganda;Israel;3
Cuba;Norway;20
UnitedKingdom;🇪;9
Mozambique;Cambodia;1
Brunei;Sweden;3
Canada;Egypt;48
Finland;Malta;7
CzechRepublic;Romania;32
France;Côted’Ivoire;45
Luxembourg;Peru;1
Chile;Portugal;43
Greenland;Venezuela;1
Mauritius;Slovenia;18
Argentina;SouthKorea;48
Denmark;Luxembourg;61
NorthKorea;Switzerland;7
Macedonia;Iran;1
Jordan;NewZealand;17
Lebanon;Malaysia;1
Kuwait;Oman;1
Lebanon;Indonesia;2
Cambodia;UnitedStates;1
Romania;CostaRica;2
Lebanon;Turkey;1
Malawi;Nepal;17
Malaysia;Sweden;46
Ghana;Netherlands;6
Australia;Swaziland;6
Italy;Uganda;7
SierraLeone;Myanmar;5
Cuba;Philippines;5
Sweden;Serbia;43
Norway;Thailand;20
Guernsey;Poland;2
France;Israel;84
Singapore;Germany;95
Denmark;Israel;60
Cyprus;🇪;9
Kuwait;Netherlands;17
Paraguay;SouthAfrica;1
Slovenia;Thailand;21
Croatia;Russia;34
UnitedKingdom;Azerbaijan;1
Nigeria;Cambodia;1
Mongolia;Cambodia;1
Finland;FaroeIslands;2
Mozambique;Ethiopia;4
Tanzania;Mongolia;1
Bulgaria;Germany;43
Italy;Turkey;56
Yemen;Netherlands;7
Bolivia;SierraLeone;5
Liberia;NewZealand;10
Iceland;Peru;12
Ecuador;Slovakia;11
Congo-Kinshasa;Vanuatu;4
Liberia;Bolivia;6
Bahamas;Belgium;7
Iran;Mauritius;18
Vanuatu;Myanmar;4
Serbia;Niger;1
Niger;UnitedKingdom;24
UnitedKingdom;PuertoRico;14
Kenya;Malawi;23
Libya;Luxembourg;1
Brazil;Panama;36
EuropeanUnion;HongKong;9
SouthKorea;Venezuela;3
Argentina;🇾🇺;9
Peru;Lebanon;2
Syria;Malawi;5
Slovenia;Spain;34
Kenya;Sweden;20
Guernsey;Canada;2
Guatemala;Mozambique;4
Latvia;UnitedStates;5
Malaysia;UnitedArabEmirates;4
ElSalvador;Mongolia;5
Germany;Austria;111
Cameroon;Nepal;13
Uzbekistan;Vietnam;1
Belgium;Estonia;43
Ghana;Sweden;6
Moldova;Iran;36
Malaysia;UnitedKingdom;176
Peru;Malawi;5
Iran;PuertoRico;14
Algeria;Croatia;9
Peru;Russia;9
BurkinaFaso;Australia;10
Ethiopia;Albania;8
Israel;Norway;52
Tunisia;UnitedKingdom;4
Chile;Italy;82
IsleofMan;Jamaica;1
Lebanon;Cambodia;1
EuropeanUnion;Cyprus;6
Italy;Oman;8
Malta;Poland;7
Russia;Niger;9
SouthAfrica;Mongolia;1
NewZealand;NewZealand;3
Japan;Slovenia;28
Norway;Cameroon;6
Kuwait;Egypt;4
Yemen;Seychelles;7
SouthSudan;SintMaarten;4
Myanmar;Netherlands;1
Italy;Paraguay;7
Jersey;Poland;2
Ireland;Turkey;42
Italy;Netherlands;223
Belgium;Japan;104
Bulgaria;Poland;12
Jamaica;Nepal;6
Bolivia;Australia;6
Uganda;Zimbabwe;11
Bangladesh;UnitedStates;14
CostaRica;Finland;2
Bahamas;Brazil;7
Malaysia;Peru;9
Sudan;Mali;1
Ethiopia;NorthKorea;7
SouthSudan;Kenya;4
Nigeria;Trinidad&Tobago;1
China;Moldova;42
HongKong;Libya;1
Canada;Estonia;37
Peru;Bolivia;8
Thailand;Kenya;2
Iran;Bangladesh;12
Namibia;Jordan;1
FalklandIslands;Thailand;18
Thailand;Malaysia;16
France;PuertoRico;14
Laos;Cambodia;1
FaroeIslands;NewZealand;1
Chad;Zimbabwe;4
Cameroon;SouthAfrica;26
Argentina;Panama;36
Brazil;Pakistan;62
Ghana;Mozambique;1
SouthAfrica;Mauritania;1
SaudiArabia;UnitedStates;38
Kenya;Afghanistan;1
Cuba;Estonia;18
Colombia;Estonia;24
SierraLeone;Kenya;1
Mongolia;Netherlands;1
Germany;Luxembourg;59
Somalia;Turkey;1
Bangladesh;Israel;4
Spain;Philippines;19
Taiwan;Tunisia;7
