Source,Target,Type,id,label,timeset,weight
1,2,Undirected,0,,,879.0
2,2,Undirected,1,,,856.0
3,2,Undirected,2,,,757.0
4,2,Undirected,3,,,701.0
2,5,Undirected,4,,,697.0
6,2,Undirected,5,,,612.0
7,2,Undirected,6,,,591.0
1,5,Undirected,7,,,530.0
1,3,Undirected,8,,,527.0
8,2,Undirected,9,,,506.0
3,5,Undirected,10,,,499.0
9,2,Undirected,11,,,480.0
10,2,Undirected,12,,,470.0
6,1,Undirected,13,,,464.0
11,2,Undirected,14,,,461.0
1,7,Undirected,15,,,450.0
12,2,Undirected,16,,,435.0
1,4,Undirected,17,,,421.0
3,7,Undirected,18,,,380.0
4,3,Undirected,19,,,379.0
4,5,Undirected,20,,,360.0
13,2,Undirected,21,,,346.0
6,5,Undirected,22,,,345.0
6,3,Undirected,23,,,341.0
6,7,Undirected,24,,,337.0
7,5,Undirected,25,,,337.0
1,8,Undirected,26,,,336.0
14,2,Undirected,27,,,335.0
3,8,Undirected,28,,,334.0
15,2,Undirected,29,,,330.0
16,2,Undirected,30,,,329.0
4,7,Undirected,31,,,319.0
2,17,Undirected,32,,,317.0
1,14,Undirected,33,,,300.0
1,15,Undirected,34,,,298.0
1,9,Undirected,35,,,298.0
12,1,Undirected,36,,,294.0
9,5,Undirected,37,,,293.0
3,9,Undirected,38,,,288.0
6,8,Undirected,39,,,285.0
6,9,Undirected,40,,,285.0
7,14,Undirected,41,,,282.0
6,14,Undirected,42,,,281.0
8,5,Undirected,43,,,280.0
4,9,Undirected,44,,,279.0
13,3,Undirected,45,,,277.0
12,5,Undirected,46,,,274.0
9,12,Undirected,47,,,268.0
4,8,Undirected,48,,,266.0
13,1,Undirected,49,,,266.0
18,2,Undirected,50,,,265.0
19,2,Undirected,51,,,264.0
2,20,Undirected,52,,,260.0
14,5,Undirected,53,,,258.0
1,11,Undirected,54,,,252.0
6,4,Undirected,55,,,252.0
13,5,Undirected,56,,,251.0
12,3,Undirected,57,,,244.0
21,2,Undirected,58,,,243.0
3,11,Undirected,59,,,242.0
11,5,Undirected,60,,,239.0
13,6,Undirected,61,,,236.0
22,2,Undirected,62,,,235.0
3,14,Undirected,63,,,234.0
23,2,Undirected,64,,,234.0
3,15,Undirected,65,,,232.0
12,4,Undirected,66,,,231.0
1,22,Undirected,67,,,231.0
7,15,Undirected,68,,,223.0
24,2,Undirected,69,,,222.0
8,7,Undirected,70,,,222.0
13,4,Undirected,71,,,222.0
1,19,Undirected,72,,,222.0
18,5,Undirected,73,,,221.0
11,4,Undirected,74,,,218.0
3,20,Undirected,75,,,215.0
10,5,Undirected,76,,,215.0
15,5,Undirected,77,,,210.0
3,19,Undirected,78,,,208.0
1,10,Undirected,79,,,208.0
19,5,Undirected,80,,,208.0
9,14,Undirected,81,,,207.0
3,18,Undirected,82,,,207.0
13,8,Undirected,83,,,206.0
4,15,Undirected,84,,,201.0
10,7,Undirected,85,,,200.0
25,2,Undirected,86,,,200.0
3,10,Undirected,87,,,199.0
2,26,Undirected,88,,,199.0
6,10,Undirected,89,,,199.0
4,14,Undirected,90,,,196.0
9,9,Undirected,91,,,195.0
27,2,Undirected,92,,,195.0
7,9,Undirected,93,,,194.0
1,20,Undirected,94,,,192.0
1,23,Undirected,95,,,192.0
8,15,Undirected,96,,,192.0
6,11,Undirected,97,,,189.0
12,7,Undirected,98,,,188.0
1,16,Undirected,99,,,187.0
28,2,Undirected,100,,,187.0
