id,label,timeset,latitude,longitude
1,Germany,,51.165691,10.451526
2,United Kingdom,,55.378051,-3.435973
3,France,,46.227638,2.213749
4,Spain,,40.463667,-3.74922
5,United States,,37.09024,-95.712891
6,China,,35.86166,104.195397
7,Italy,,41.87194,12.56738
8,India,,20.593684,78.96288
9,Australia,,-25.274398,133.775136
10,Ireland,,53.41291,-8.24389
11,Greece,,39.074208,21.824312
12,Canada,,56.130366,-106.346771
13,Brazil,,-14.235004,-51.92528
14,Switzerland,,46.818188,8.227512
15,Netherlands,,52.132633,5.291266
16,Poland,,51.919438,19.145136
17,Hungary,,47.162494,19.503304
18,Sweden,,60.128161,18.643501
19,Japan,,36.204824,138.252924
20,Portugal,,39.399872,-8.224454
21,Belgium,,50.503887,4.469936
22,Russia,,61.52401,105.318756
23,New Zealand,,-40.900557,174.885971
24,Argentina,,-38.416097,-63.616672
25,Czech Republic,,49.817492,15.472962
26,Iran,,32.427908,53.688046
27,Finland,,61.92411,25.748151
28,South Korea,,35.907757,127.766922
29,Denmark,,56.26392,9.501785
30,Malaysia,,4.210484,101.975766
31,South Africa,,-30.559482,22.937506
32,Singapore,,1.352083,103.819836
33,Mexico,,23.634501,-102.552784
34,Pakistan,,30.375321,69.345116
35,Turkey,,38.963745,35.243322
36,Romania,,45.943161,24.96676
37,Austria,,47.516231,14.550072
38,Chile,,-35.675147,-71.542969
39,Israel,,31.046051,34.851612
40,Colombia,,4.570868,-74.297333
41,Norway,,60.472024,8.468946
42,Croatia,,45.1,15.2
43,Thailand,,15.870032,100.992541
44,Cyprus,,35.126413,33.429859
45,Egypt,,26.820553,30.802498
46,Serbia,,44.016521,21.005859
47,Taiwan,,23.69781,120.960515
48,Luxembourg,,49.815273,6.129583
49,Iraq,,33.223191,43.679291
50,Saudi Arabia,,23.885942,45.079162
51,Côte d’Ivoire,,7.539989,-5.54708
52,Slovakia,,48.669026,19.699024
54,Indonesia,,-0.789275,113.921327
55,Vietnam,,14.058324,108.277199
56,Jordan,,30.585164,36.238414
57,Estonia,,58.595272,25.013607
58,Nigeria,,9.081999,8.675277
59,Ethiopia,,9.145,40.489673
60,Hong Kong,,22.396428,114.109497
61,Kuwait,,29.31166,47.481766
62,Slovenia,,46.151241,14.995463
63,Bangladesh,,23.684994,90.356331
64,Ukraine,,48.379433,31.16558
65,Nepal,,28.394857,84.124008
66,Uruguay,,-32.522779,-55.765835
67,Moldova,,47.411631,28.369885
68,Bulgaria,,42.733883,25.48583
69,Panama,,8.537981,-80.782127
70,Oman,,21.512583,55.923255
71,Zimbabwe,,-19.015438,29.154857
72,Lithuania,,55.169438,23.881275
73,Mauritius,,-20.348404,57.552152
74,Kenya,,-0.023559,37.906193
75,Venezuela,,6.42375,-66.58973
76,Cuba,,21.521757,-77.781167
77,Guinea,,9.945587,-9.696645
78,Falkland Islands,,-51.796253,-59.523613
